tanggal,wilayah,waktu,cuaca,kelembaban_persen,suhu_derajat_celcius
2017-04-02,Jakarta Timur,Pagi,Hujan Petir,85 - 95,24 - 32
2017-04-02,Jakarta Barat,Pagi,Hujan Sedang,85 - 95,24 - 32
2017-04-02,Jakarta Selatan,Pagi,Hujan Petir,85 - 95,24 - 32
2017-04-02,Kepulauan Seribu,Pagi,Hujan Lokal,85 - 95,24 - 32
2017-04-02,Jakarta Pusat,Pagi,Hujan Sedang,85 - 95,24 - 32
2017-04-02,Jakarta Utara,Pagi,Hujan Ringan,85 - 95,24 - 32
2017-04-02,Jakarta Timur,Siang,Hujan Lokal,85 - 95,24 - 32
2017-04-02,Jakarta Barat,Siang,Berawan Tebal,85 - 95,24 - 32
2017-04-02,Jakarta Selatan,Siang,Berawan Tebal,85 - 95,24 - 32
2017-04-02,Kepulauan Seribu,Siang,Hujan Lokal,85 - 95,24 - 32
2017-04-02,Jakarta Pusat,Siang,Hujan Lokal,85 - 95,24 - 32
2017-04-02,Jakarta Utara,Siang,Hujan Lokal,85 - 95,24 - 32
2017-04-02,Jakarta Timur,Malam,Berawan Tebal,85 - 95,24 - 32
2017-04-02,Jakarta Barat,Malam,Berawan Tebal,85 - 95,24 - 32
2017-04-02,Jakarta Selatan,Malam,Berawan Tebal,85 - 95,24 - 32
2017-04-02,Kepulauan Seribu,Malam,Hujan Lokal,85 - 95,24 - 32
2017-04-02,Jakarta Pusat,Malam,Berawan Tebal,85 - 95,24 - 32
2017-04-02,Jakarta Utara,Malam,Berawan Tebal,85 - 95,24 - 32
2017-04-02,Jakarta Timur,Dini Hari,Berawan,85 - 95,24 - 32
2017-04-02,Jakarta Barat,Dini Hari,Hujan Lokal,85 - 95,24 - 32
2017-04-02,Jakarta Selatan,Dini Hari,Berawan,85 - 95,24 - 32
2017-04-02,Kepulauan Seribu,Dini Hari,Hujan Lokal,85 - 95,24 - 32
2017-04-02,Jakarta Pusat,Dini Hari,Berawan,85 - 95,24 - 32
2017-04-02,Jakarta Utara,Dini Hari,Berawan,85 - 95,24 - 32
2017-04-03,Jakarta Timur,Pagi,Hujan Sedang,70 - 100,24 - 33
2017-04-03,Jakarta Barat,Pagi,Hujan Sedang,70 - 100,24 - 33
2017-04-03,Jakarta Selatan,Pagi,Hujan Petir,70 - 100,24 - 33
2017-04-03,Kepulauan Seribu,Pagi,Hujan Lokal,70 - 100,24 - 33
2017-04-03,Jakarta Pusat,Pagi,Hujan Lokal,70 - 100,24 - 33
2017-04-03,Jakarta Utara,Pagi,Hujan Lokal,70 - 100,24 - 33
2017-04-03,Jakarta Timur,Siang,Berawan Tebal,70 - 100,24 - 33
2017-04-03,Jakarta Barat,Siang,Hujan Ringan,70 - 100,24 - 33
2017-04-03,Jakarta Selatan,Siang,Hujan Ringan,70 - 100,24 - 33
2017-04-03,Kepulauan Seribu,Siang,Hujan Lokal,70 - 100,24 - 33
2017-04-03,Jakarta Pusat,Siang,Berawan Tebal,70 - 100,24 - 33
2017-04-03,Jakarta Utara,Siang,Hujan Lokal,70 - 100,24 - 33
2017-04-03,Jakarta Timur,Malam,Berawan Tebal,70 - 100,24 - 33
2017-04-03,Jakarta Barat,Malam,Berawan Tebal,70 - 100,24 - 33
2017-04-03,Jakarta Selatan,Malam,Berawan Tebal,70 - 100,24 - 33
2017-04-03,Kepulauan Seribu,Malam,Hujan Lokal,70 - 100,24 - 33
2017-04-03,Jakarta Pusat,Malam,Berawan Tebal,70 - 100,24 - 33
2017-04-03,Jakarta Utara,Malam,Berawan Tebal,70 - 100,24 - 33
2017-04-03,Jakarta Timur,Dini Hari,Cerah Berawan,70 - 100,24 - 33
2017-04-03,Jakarta Barat,Dini Hari,Cerah Berawan,70 - 100,24 - 33
2017-04-03,Jakarta Selatan,Dini Hari,Cerah Berawan,70 - 100,24 - 33
2017-04-03,Kepulauan Seribu,Dini Hari,Hujan Lokal,70 - 100,24 - 33
2017-04-03,Jakarta Pusat,Dini Hari,Cerah Berawan,70 - 100,24 - 33
2017-04-03,Jakarta Utara,Dini Hari,Cerah Berawan,70 - 100,24 - 33
2017-04-04,Jakarta Timur,Pagi,Hujan Petir,70 - 100, 24 - 33
2017-04-04,Jakarta Barat,Pagi,Hujan Petir,70 - 100, 24 - 33
2017-04-04,Jakarta Selatan,Pagi,Hujan Petir,70 - 100, 24 - 33
2017-04-04,Kepulauan Seribu,Pagi,Hujan Ringan,70 - 100, 24 - 33
2017-04-04,Jakarta Pusat,Pagi,Hujan Sedang,70 - 100, 24 - 33
2017-04-04,Jakarta Utara,Pagi,Hujan Ringan,70 - 100, 24 - 33
2017-04-04,Jakarta Timur,Siang,Hujan Ringan,70 - 100, 24 - 33
2017-04-04,Jakarta Barat,Siang,Hujan Ringan,70 - 100, 24 - 33
2017-04-04,Jakarta Selatan,Siang,Hujan Ringan,70 - 100, 24 - 33
2017-04-04,Kepulauan Seribu,Siang,Berawan Tebal,70 - 100, 24 - 33
2017-04-04,Jakarta Pusat,Siang,Berawan Tebal,70 - 100, 24 - 33
2017-04-04,Jakarta Utara,Siang,Berawan Tebal,70 - 100, 24 - 33
2017-04-04,Jakarta Timur,Malam,Berawan Tebal,70 - 100, 24 - 33
2017-04-04,Jakarta Barat,Malam,Berawan Tebal,70 - 100, 24 - 33
2017-04-04,Jakarta Selatan,Malam,Berawan Tebal,70 - 100, 24 - 33
2017-04-04,Kepulauan Seribu,Malam,Hujan Lokal,70 - 100, 24 - 33
2017-04-04,Jakarta Pusat,Malam,Berawan Tebal,70 - 100, 24 - 33
2017-04-04,Jakarta Utara,Malam,Berawan Tebal,70 - 100, 24 - 33
2017-04-04,Jakarta Timur,Dini Hari,Cerah Berawan,70 - 100, 24 - 33
2017-04-04,Jakarta Barat,Dini Hari,Cerah Berawan,70 - 100, 24 - 33
2017-04-04,Jakarta Selatan,Dini Hari,Cerah Berawan,70 - 100, 24 - 33
2017-04-04,Kepulauan Seribu,Dini Hari,Hujan Lokal,70 - 100, 24 - 33
2017-04-04,Jakarta Pusat,Dini Hari,Cerah Berawan,70 - 100, 24 - 33
2017-04-04,Jakarta Utara,Dini Hari,Cerah Berawan,70 - 100, 24 - 33
2017-04-05,Jakarta Timur,Pagi,Hujan Petir,65 - 95,24 - 32
2017-04-05,Jakarta Barat,Pagi,Hujan Sedang,65 - 95,24 - 32
2017-04-05,Jakarta Selatan,Pagi,Hujan Petir,65 - 95,24 - 32
2017-04-05,Kepulauan Seribu,Pagi,Cerah Berawan,65 - 95,24 - 32
2017-04-05,Jakarta Pusat,Pagi,Hujan Ringan,65 - 95,24 - 32
2017-04-05,Jakarta Utara,Pagi,Hujan Ringan,65 - 95,24 - 32
2017-04-05,Jakarta Timur,Siang,Berawan,65 - 95,24 - 32
2017-04-05,Jakarta Barat,Siang,Cerah Berawan,65 - 95,24 - 32
2017-04-05,Jakarta Selatan,Siang,Berawan,65 - 95,24 - 32
2017-04-05,Kepulauan Seribu,Siang,Berawan,65 - 95,24 - 32
2017-04-05,Jakarta Pusat,Siang,Berawan,65 - 95,24 - 32
2017-04-05,Jakarta Utara,Siang,Berawan,65 - 95,24 - 32
2017-04-05,Jakarta Timur,Malam,Berawan,65 - 95,24 - 32
2017-04-05,Jakarta Barat,Malam,Cerah Berawan,65 - 95,24 - 32
2017-04-05,Jakarta Selatan,Malam,Berawan,65 - 95,24 - 32
2017-04-05,Kepulauan Seribu,Malam,Hujan Lokal,65 - 95,24 - 32
2017-04-05,Jakarta Pusat,Malam,Berawan,65 - 95,24 - 32
2017-04-05,Jakarta Utara,Malam,Berawan,65 - 95,24 - 32
2017-04-05,Jakarta Timur,Dini Hari,Cerah Berawan,65 - 95,24 - 32
2017-04-05,Jakarta Barat,Dini Hari,Cerah Berawan,65 - 95,24 - 32
2017-04-05,Jakarta Selatan,Dini Hari,Cerah Berawan,65 - 95,24 - 32
2017-04-05,Kepulauan Seribu,Dini Hari,Hujan Lokal,65 - 95,24 - 32
2017-04-05,Jakarta Pusat,Dini Hari,Cerah Berawan,65 - 95,24 - 32
2017-04-05,Jakarta Utara,Dini Hari,Cerah Berawan,65 - 95,24 - 32
2017-04-06,Jakarta Timur,Pagi,Hujan Petir,70 - 95,24 - 31
2017-04-06,Jakarta Barat,Pagi,Hujan Sedang,70 - 95,24 - 31
2017-04-06,Jakarta Selatan,Pagi,Hujan Petir,70 - 95,24 - 31
2017-04-06,Kepulauan Seribu,Pagi,Berawan,70 - 95,24 - 31
2017-04-06,Jakarta Pusat,Pagi,Hujan Ringan,70 - 95,24 - 31
2017-04-06,Jakarta Utara,Pagi,Hujan Ringan,70 - 95,24 - 31
2017-04-06,Jakarta Timur,Siang,Berawan,70 - 95,24 - 31
2017-04-06,Jakarta Barat,Siang,Berawan,70 - 95,24 - 31
2017-04-06,Jakarta Selatan,Siang,Berawan,70 - 95,24 - 31
2017-04-06,Kepulauan Seribu,Siang,Berawan,70 - 95,24 - 31
2017-04-06,Jakarta Pusat,Siang,Berawan,70 - 95,24 - 31
2017-04-06,Jakarta Utara,Siang,Berawan,70 - 95,24 - 31
2017-04-06,Jakarta Timur,Malam,Berawan,70 - 95,24 - 31
2017-04-06,Jakarta Barat,Malam,Berawan,70 - 95,24 - 31
2017-04-06,Jakarta Selatan,Malam,Berawan,70 - 95,24 - 31
2017-04-06,Kepulauan Seribu,Malam,Hujan Ringan,70 - 95,24 - 31
2017-04-06,Jakarta Pusat,Malam,Berawan,70 - 95,24 - 31
2017-04-06,Jakarta Utara,Malam,Berawan,70 - 95,24 - 31
2017-04-06,Jakarta Timur,Dini Hari,Cerah Berawan,70 - 95,24 - 31
2017-04-06,Jakarta Barat,Dini Hari,Cerah Berawan,70 - 95,24 - 31
2017-04-06,Jakarta Selatan,Dini Hari,Cerah Berawan,70 - 95,24 - 31
2017-04-06,Kepulauan Seribu,Dini Hari,Cerah Berawan,70 - 95,24 - 31
2017-04-06,Jakarta Pusat,Dini Hari,Cerah Berawan,70 - 95,24 - 31
2017-04-06,Jakarta Utara,Dini Hari,Cerah Berawan,70 - 95,24 - 31
2017-04-07,Jakarta Timur,Pagi,Hujan Ringan,70 - 95,24 - 32
2017-04-07,Jakarta Barat,Pagi,Hujan Sedang,70 - 95,24 - 32
2017-04-07,Jakarta Selatan,Pagi,Hujan Ringan,70 - 95,24 - 32
2017-04-07,Kepulauan Seribu,Pagi,Hujan Ringan,70 - 95,24 - 32
2017-04-07,Jakarta Pusat,Pagi,Hujan Ringan,70 - 95,24 - 32
2017-04-07,Jakarta Utara,Pagi,Hujan Ringan,70 - 95,24 - 32
2017-04-07,Jakarta Timur,Siang,Berawan,70 - 95,24 - 32
2017-04-07,Jakarta Barat,Siang,Berawan,70 - 95,24 - 32
2017-04-07,Jakarta Selatan,Siang,Berawan,70 - 95,24 - 32
2017-04-07,Kepulauan Seribu,Siang,Berawan,70 - 95,24 - 32
2017-04-07,Jakarta Pusat,Siang,Berawan,70 - 95,24 - 32
2017-04-07,Jakarta Utara,Siang,Berawan,70 - 95,24 - 32
2017-04-07,Jakarta Timur,Malam,Cerah Berawan,70 - 95,24 - 32
2017-04-07,Jakarta Barat,Malam,Berawan,70 - 95,24 - 32
2017-04-07,Jakarta Selatan,Malam,Cerah Berawan,70 - 95,24 - 32
2017-04-07,Kepulauan Seribu,Malam,Hujan Ringan,70 - 95,24 - 32
2017-04-07,Jakarta Pusat,Malam,Cerah Berawan,70 - 95,24 - 32
2017-04-07,Jakarta Utara,Malam,Cerah Berawan,70 - 95,24 - 32
2017-04-07,Jakarta Timur,Dini Hari,Berawan,70 - 95,24 - 32
2017-04-07,Jakarta Barat,Dini Hari,Berawan Tebal,70 - 95,24 - 32
2017-04-07,Jakarta Selatan,Dini Hari,Berawan,70 - 95,24 - 32
2017-04-07,Kepulauan Seribu,Dini Hari,Hujan Lokal,70 - 95,24 - 32
